Date : 2021-06-24 10:56:01
Directory : c:\Users\kk\Desktop\outstanding-crm-front\src
Total : 321 files,  38319 codes, 640 comments, 3504 blanks, all 42463 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| c:\Users\kk\Desktop\outstanding-crm-front\src\PublicComponents\backstageMgt\component\rolecontrol\component\jurisdiction\store.js                                                   | JavaScript |          0 |         18 |          1 |         19 |
| c:\Users\kk\Desktop\outstanding-crm-front\src\PublicComponents\backstageMgt\component\rolecontrol\component\jurisdiction\office\office.css                                          | CSS        |          4 |          0 |          1 |          5 |
| c:\Users\kk\Desktop\outstanding-crm-front\src\PublicComponents\backstageMgt\component\rolecontrol\component\jurisdiction\office\office.js                                           | JavaScript |        339 |         15 |         17 |        371 |
| c:\Users\kk\Desktop\outstanding-crm-front\src\PublicComponents\backstageMgt\component\rolecontrol\component\jurisdiction\office\table.js                                            | JavaScript |        135 |          4 |          4 |        143 |
| c:\Users\kk\Desktop\outstanding-crm-front\src\PublicComponents\backstageMgt\component\rolecontrol\component\jurisdiction\project\project.css                                        | CSS        |          0 |          0 |          1 |          1 |
| c:\Users\kk\Desktop\outstanding-crm-front\src\PublicComponents\backstageMgt\component\rolecontrol\component\jurisdiction\project\project.js                                         | JavaScript |        331 |         16 |         17 |        364 |
| c:\Users\kk\Desktop\outstanding-crm-front\src\PublicComponents\backstageMgt\component\rolecontrol\component\jurisdiction\project\table.js                                           | JavaScript |        135 |          3 |          4 |        142 |
| c:\Users\kk\Desktop\outstanding-crm-front\src\PublicComponents\backstageMgt\component\rolecontrol\component\jurisdiction\system\components\systemMgt\store.js                       | JavaScript |        332 |         16 |         15 |        363 |
| c:\Users\kk\Desktop\outstanding-crm-front\src\PublicComponents\backstageMgt\component\rolecontrol\component\jurisdiction\system\system.css                                          | CSS        |        145 |          0 |          2 |        147 |
| c:\Users\kk\Desktop\outstanding-crm-front\src\PublicComponents\backstageMgt\component\rolecontrol\component\jurisdiction\system\table.js                                            | JavaScript |        135 |          3 |          3 |        141 |
| c:\Users\kk\Desktop\outstanding-crm-front\src\PublicComponents\backstageMgt\component\rolecontrol\component\menulayout\store.js                                                     | JavaScript |        116 |          8 |         22 |        146 |
| c:\Users\kk\Desktop\outstanding-crm-front\src\PublicComponents\backstageMgt\component\rolecontrol\component\menulayout\style.css                                                    | CSS        |         39 |          0 |          6 |         45 |
| c:\Users\kk\Desktop\outstanding-crm-front\src\PublicComponents\backstageMgt\component\rolecontrol\store.js                                                                          | JavaScript |         33 |          3 |          7 |         43 |
| c:\Users\kk\Desktop\outstanding-crm-front\src\PublicComponents\backstageMgt\component\rolecontrol\menulayout\store.js                                                               | JavaScript |         83 |          0 |         26 |        109 |
| c:\Users\kk\Desktop\outstanding-crm-front\src\PublicComponents\backstageMgt\component\rolecontrol\menulayout\style.css                                                              | CSS        |         39 |          0 |          6 |         45 |
| c:\Users\kk\Desktop\outstanding-crm-front\src\PublicComponents\backstageMgt\component\rolecontrol\style.css                                                                         | CSS        |          0 |          0 |          1 |          1 |
| c:\Users\kk\Desktop\outstanding-crm-front\src\PublicComponents\backstageMgt\component\staff&department\component\Paging\store.js                                                    | JavaScript |        113 |         18 |         10 |        141 |
| c:\Users\kk\Desktop\outstanding-crm-front\src\PublicComponents\backstageMgt\component\staff&department\component\Paging\style.css                                                   | CSS        |          0 |          0 |          1 |          1 |
| c:\Users\kk\Desktop\outstanding-crm-front\src\PublicComponents\backstageMgt\component\staff&department\component\alertform\component\cascader\store.js                              | JavaScript |         69 |         13 |         11 |         93 |
| c:\Users\kk\Desktop\outstanding-crm-front\src\PublicComponents\backstageMgt\component\staff&department\component\alertform\component\cascader\style.css                             | CSS        |          1 |          0 |          0 |          1 |
| c:\Users\kk\Desktop\outstanding-crm-front\src\PublicComponents\backstageMgt\component\staff&department\component\alertform\store.js                                                 | JavaScript |        183 |          0 |         12 |        195 |
| c:\Users\kk\Desktop\outstanding-crm-front\src\PublicComponents\backstageMgt\component\staff&department\component\alertform\style.css                                                | CSS        |         12 |          0 |          0 |         12 |
| c:\Users\kk\Desktop\outstanding-crm-front\src\PublicComponents\backstageMgt\component\staff&department\component\menulayout\store.js                                                | JavaScript |         58 |          5 |         21 |         84 |
| c:\Users\kk\Desktop\outstanding-crm-front\src\PublicComponents\backstageMgt\component\staff&department\component\menulayout\style.css                                               | CSS        |         39 |          0 |          6 |         45 |
| c:\Users\kk\Desktop\outstanding-crm-front\src\PublicComponents\backstageMgt\component\staff&department\component\sdcontent\store.js                                                 | JavaScript |        134 |          0 |          7 |        141 |
| c:\Users\kk\Desktop\outstanding-crm-front\src\PublicComponents\backstageMgt\component\staff&department\component\sdcontent\style.css                                                | CSS        |         12 |          0 |          3 |         15 |
| c:\Users\kk\Desktop\outstanding-crm-front\src\PublicComponents\backstageMgt\component\staff&department\component\sdtable\store.js                                                   | JavaScript |        108 |          1 |         13 |        122 |
| c:\Users\kk\Desktop\outstanding-crm-front\src\PublicComponents\backstageMgt\component\staff&department\component\sdtable\style.css                                                  | CSS        |          1 |          0 |          0 |          1 |
| c:\Users\kk\Desktop\outstanding-crm-front\src\PublicComponents\backstageMgt\component\staff&department\store.js                                                                     | JavaScript |        224 |          0 |         41 |        265 |
| c:\Users\kk\Desktop\outstanding-crm-front\src\PublicComponents\backstageMgt\component\staff&department\style.css                                                                    | CSS        |          0 |          0 |          1 |          1 |
| c:\Users\kk\Desktop\outstanding-crm-front\src\PublicComponents\backstageMgt\component\top\store.js                                                                                  | JavaScript |         28 |          1 |          1 |         30 |
| c:\Users\kk\Desktop\outstanding-crm-front\src\PublicComponents\backstageMgt\component\top\style.css                                                                                 | CSS        |         26 |          0 |          1 |         27 |
| c:\Users\kk\Desktop\outstanding-crm-front\src\PublicComponents\backstageMgt\store.js                                                                                                | JavaScript |         15 |          0 |          6 |         21 |
| c:\Users\kk\Desktop\outstanding-crm-front\src\PublicComponents\backstageMgt\style.css                                                                                               | CSS        |          1 |          0 |          0 |          1 |
| c:\Users\kk\Desktop\outstanding-crm-front\src\PublicComponents\customerMgt\components\Alertmodal\component\searchtabs\store.js                                                      | JavaScript |         27 |          0 |          8 |         35 |
| c:\Users\kk\Desktop\outstanding-crm-front\src\PublicComponents\customerMgt\components\Alertmodal\component\searchtabs\style.css                                                     | CSS        |          1 |          0 |          0 |          1 |
| c:\Users\kk\Desktop\outstanding-crm-front\src\PublicComponents\customerMgt\components\Alertmodal\component\searchtransfer\store.js                                                  | JavaScript |         50 |          0 |          7 |         57 |
| c:\Users\kk\Desktop\outstanding-crm-front\src\PublicComponents\customerMgt\components\Alertmodal\component\searchtransfer\style.css                                                 | CSS        |          1 |          0 |          0 |          1 |
| c:\Users\kk\Desktop\outstanding-crm-front\src\PublicComponents\customerMgt\components\Alertmodal\store.js                                                                           | JavaScript |         28 |          0 |          7 |         35 |
| c:\Users\kk\Desktop\outstanding-crm-front\src\PublicComponents\customerMgt\components\Alertmodal\style.css                                                                          | CSS        |          5 |          0 |          2 |          7 |
| c:\Users\kk\Desktop\outstanding-crm-front\src\PublicComponents\customerMgt\components\Creatpopover\store.js                                                                         | JavaScript |         36 |          0 |          7 |         43 |
| c:\Users\kk\Desktop\outstanding-crm-front\src\PublicComponents\customerMgt\components\Creatpopover\style.css                                                                        | CSS        |         23 |          0 |          4 |         27 |
| c:\Users\kk\Desktop\outstanding-crm-front\src\PublicComponents\customerMgt\components\Creatpopover\style.min.css                                                                    | CSS        |          1 |          0 |          1 |          2 |
| c:\Users\kk\Desktop\outstanding-crm-front\src\PublicComponents\customerMgt\components\Creatpopover\style.scss                                                                       | SCSS       |         26 |          0 |          3 |         29 |
| c:\Users\kk\Desktop\outstanding-crm-front\src\PublicComponents\customerMgt\components\Drawercomponent\store.js                                                                      | JavaScript |        145 |          0 |          6 |        151 |
| c:\Users\kk\Desktop\outstanding-crm-front\src\PublicComponents\customerMgt\components\Drawercomponent\style.css                                                                     | CSS        |          0 |          0 |          1 |          1 |
| c:\Users\kk\Desktop\outstanding-crm-front\src\PublicComponents\customerMgt\components\ParentMenu\store.js                                                                           | JavaScript |         49 |          0 |          6 |         55 |
| c:\Users\kk\Desktop\outstanding-crm-front\src\PublicComponents\customerMgt\components\ParentMenu\style.css                                                                          | CSS        |          1 |          0 |          0 |          1 |
| c:\Users\kk\Desktop\outstanding-crm-front\src\PublicComponents\customerMgt\components\sdtable\store.js                                                                              | JavaScript |         97 |         14 |         12 |        123 |
| c:\Users\kk\Desktop\outstanding-crm-front\src\PublicComponents\customerMgt\components\sdtable\style.css                                                                             | CSS        |          1 |          0 |          0 |          1 |
| c:\Users\kk\Desktop\outstanding-crm-front\src\PublicComponents\customerMgt\components\searchtransfer\store.js                                                                       | JavaScript |         49 |          0 |          7 |         56 |
| c:\Users\kk\Desktop\outstanding-crm-front\src\PublicComponents\customerMgt\components\searchtransfer\style.css                                                                      | CSS        |          1 |          0 |          0 |          1 |
| c:\Users\kk\Desktop\outstanding-crm-front\src\PublicComponents\customerMgt\store.js                                                                                                 | JavaScript |         13 |          0 |          6 |         19 |
| c:\Users\kk\Desktop\outstanding-crm-front\src\PublicComponents\customerMgt\menulayout\component\bO\store.js                                                                         | JavaScript |         14 |          0 |          6 |         20 |
| c:\Users\kk\Desktop\outstanding-crm-front\src\PublicComponents\customerMgt\menulayout\component\bO\style.css                                                                        | CSS        |          1 |          0 |          0 |          1 |
| c:\Users\kk\Desktop\outstanding-crm-front\src\PublicComponents\customerMgt\menulayout\component\clue\store.js                                                                       | JavaScript |        405 |          2 |         50 |        457 |
| c:\Users\kk\Desktop\outstanding-crm-front\src\PublicComponents\customerMgt\menulayout\component\clue\style.css                                                                      | CSS        |          1 |          0 |          0 |          1 |
| c:\Users\kk\Desktop\outstanding-crm-front\src\PublicComponents\customerMgt\menulayout\component\contacts\store.js                                                                   | JavaScript |         14 |          0 |          6 |         20 |
| c:\Users\kk\Desktop\outstanding-crm-front\src\PublicComponents\customerMgt\menulayout\component\contacts\style.css                                                                  | CSS        |          1 |          0 |          0 |          1 |
| c:\Users\kk\Desktop\outstanding-crm-front\src\PublicComponents\customerMgt\menulayout\component\contract\store.js                                                                   | JavaScript |         14 |          0 |          6 |         20 |
| c:\Users\kk\Desktop\outstanding-crm-front\src\PublicComponents\customerMgt\menulayout\component\contract\style.css                                                                  | CSS        |          1 |          0 |          0 |          1 |
| c:\Users\kk\Desktop\outstanding-crm-front\src\PublicComponents\customerMgt\menulayout\component\customer\store.js                                                                   | JavaScript |         14 |          0 |          6 |         20 |
| c:\Users\kk\Desktop\outstanding-crm-front\src\PublicComponents\customerMgt\menulayout\component\customer\style.css                                                                  | CSS        |          1 |          0 |          0 |          1 |
| c:\Users\kk\Desktop\outstanding-crm-front\src\PublicComponents\customerMgt\menulayout\component\dashboardlayout\component\footleft\store.js                                         | JavaScript |          8 |          0 |          4 |         12 |
| c:\Users\kk\Desktop\outstanding-crm-front\src\PublicComponents\customerMgt\menulayout\component\dashboardlayout\component\footleft\style.css                                        | CSS        |          0 |          0 |          1 |          1 |
| c:\Users\kk\Desktop\outstanding-crm-front\src\PublicComponents\customerMgt\menulayout\component\dashboardlayout\component\footright\store.js                                        | JavaScript |          8 |          0 |          4 |         12 |
| c:\Users\kk\Desktop\outstanding-crm-front\src\PublicComponents\customerMgt\menulayout\component\dashboardlayout\component\footright\style.css                                       | CSS        |          0 |          0 |          1 |          1 |
| c:\Users\kk\Desktop\outstanding-crm-front\src\PublicComponents\customerMgt\menulayout\component\dashboardlayout\component\topleft\component\BO\store.js                             | JavaScript |         10 |          0 |          3 |         13 |
| c:\Users\kk\Desktop\outstanding-crm-front\src\PublicComponents\customerMgt\menulayout\component\dashboardlayout\component\topleft\component\BO\style.css                            | CSS        |          1 |          0 |          0 |          1 |
| c:\Users\kk\Desktop\outstanding-crm-front\src\PublicComponents\customerMgt\menulayout\component\dashboardlayout\component\topleft\component\contacts\store.js                       | JavaScript |         10 |          0 |          3 |         13 |
| c:\Users\kk\Desktop\outstanding-crm-front\src\PublicComponents\customerMgt\menulayout\component\dashboardlayout\component\topleft\component\contacts\style.css                      | CSS        |          1 |          0 |          0 |          1 |
| c:\Users\kk\Desktop\outstanding-crm-front\src\PublicComponents\customerMgt\menulayout\component\dashboardlayout\component\topleft\component\contract\store.js                       | JavaScript |         10 |          0 |          3 |         13 |
| c:\Users\kk\Desktop\outstanding-crm-front\src\PublicComponents\customerMgt\menulayout\component\dashboardlayout\component\topleft\component\contract\style.css                      | CSS        |          1 |          0 |          0 |          1 |
| c:\Users\kk\Desktop\outstanding-crm-front\src\PublicComponents\customerMgt\menulayout\component\dashboardlayout\component\topleft\component\customer\component\alerttable\store.js  | JavaScript |         94 |          0 |          3 |         97 |
| c:\Users\kk\Desktop\outstanding-crm-front\src\PublicComponents\customerMgt\menulayout\component\dashboardlayout\component\topleft\component\customer\component\alerttable\style.css | CSS        |          0 |          0 |          1 |          1 |
| c:\Users\kk\Desktop\outstanding-crm-front\src\PublicComponents\customerMgt\menulayout\component\dashboardlayout\component\topleft\component\customer\store.js                       | JavaScript |         42 |         16 |         12 |         70 |
| c:\Users\kk\Desktop\outstanding-crm-front\src\PublicComponents\customerMgt\menulayout\component\dashboardlayout\component\topleft\component\customer\style.css                      | CSS        |          4 |          0 |          0 |          4 |
| c:\Users\kk\Desktop\outstanding-crm-front\src\PublicComponents\customerMgt\menulayout\component\dashboardlayout\component\topleft\component\followup\store.js                       | JavaScript |         10 |          0 |          3 |         13 |
| c:\Users\kk\Desktop\outstanding-crm-front\src\PublicComponents\customerMgt\menulayout\component\dashboardlayout\component\topleft\component\followup\style.css                      | CSS        |          1 |          0 |          0 |          1 |
| c:\Users\kk\Desktop\outstanding-crm-front\src\PublicComponents\customerMgt\menulayout\component\dashboardlayout\component\topleft\component\statebo\store.js                        | JavaScript |         10 |          0 |          3 |         13 |
| c:\Users\kk\Desktop\outstanding-crm-front\src\PublicComponents\customerMgt\menulayout\component\dashboardlayout\component\topleft\component\statebo\style.css                       | CSS        |          1 |          0 |          0 |          1 |
| c:\Users\kk\Desktop\outstanding-crm-front\src\PublicComponents\customerMgt\menulayout\component\dashboardlayout\component\topleft\store.js                                          | JavaScript |         30 |          0 |          5 |         35 |
| c:\Users\kk\Desktop\outstanding-crm-front\src\PublicComponents\customerMgt\menulayout\component\dashboardlayout\component\topleft\style.css                                         | CSS        |         14 |          0 |          3 |         17 |
| c:\Users\kk\Desktop\outstanding-crm-front\src\PublicComponents\customerMgt\menulayout\component\dashboardlayout\component\topright\store.js                                         | JavaScript |          8 |          0 |          4 |         12 |
| c:\Users\kk\Desktop\outstanding-crm-front\src\PublicComponents\customerMgt\menulayout\component\dashboardlayout\component\topright\style.css                                        | CSS        |          0 |          0 |          1 |          1 |
| c:\Users\kk\Desktop\outstanding-crm-front\src\PublicComponents\customerMgt\menulayout\component\dashboardlayout\store.js                                                            | JavaScript |         58 |          0 |         19 |         77 |
| c:\Users\kk\Desktop\outstanding-crm-front\src\PublicComponents\customerMgt\menulayout\component\dashboardlayout\style.css                                                           | CSS        |         44 |          1 |          3 |         48 |
| c:\Users\kk\Desktop\outstanding-crm-front\src\PublicComponents\customerMgt\menulayout\component\opensea\store.js                                                                    | JavaScript |         14 |          0 |          6 |         20 |
| c:\Users\kk\Desktop\outstanding-crm-front\src\PublicComponents\customerMgt\menulayout\component\opensea\style.css                                                                   | CSS        |          1 |          0 |          0 |          1 |
| c:\Users\kk\Desktop\outstanding-crm-front\src\PublicComponents\customerMgt\menulayout\component\payment\store.js                                                                    | JavaScript |         14 |          0 |          6 |         20 |
| c:\Users\kk\Desktop\outstanding-crm-front\src\PublicComponents\customerMgt\menulayout\component\payment\style.css                                                                   | CSS        |          1 |          0 |          0 |          1 |
| c:\Users\kk\Desktop\outstanding-crm-front\src\PublicComponents\customerMgt\menulayout\component\prodocutTable\store.js                                                              | JavaScript |        378 |          2 |         50 |        430 |
| c:\Users\kk\Desktop\outstanding-crm-front\src\PublicComponents\customerMgt\menulayout\component\prodocutTable\style.css                                                             | CSS        |          7 |          0 |          0 |          7 |
| c:\Users\kk\Desktop\outstanding-crm-front\src\PublicComponents\customerMgt\menulayout\component\todolist\store.js                                                                   | JavaScript |         14 |          0 |          6 |         20 |
| c:\Users\kk\Desktop\outstanding-crm-front\src\PublicComponents\customerMgt\menulayout\component\todolist\style.css                                                                  | CSS        |          1 |          0 |          0 |          1 |
| c:\Users\kk\Desktop\outstanding-crm-front\src\PublicComponents\customerMgt\menulayout\store.js                                                                                      | JavaScript |        110 |          1 |         14 |        125 |
| c:\Users\kk\Desktop\outstanding-crm-front\src\PublicComponents\customerMgt\menulayout\style.css                                                                                     | CSS        |          9 |          0 |          0 |          9 |
| c:\Users\kk\Desktop\outstanding-crm-front\src\PublicComponents\customerMgt\style.css                                                                                                | CSS        |          4 |          0 |          6 |         10 |
| c:\Users\kk\Desktop\outstanding-crm-front\src\PublicComponents\login\login.css                                                                                                      | CSS        |         35 |          0 |          1 |         36 |
| c:\Users\kk\Desktop\outstanding-crm-front\src\PublicComponents\login\login.js                                                                                                       | JavaScript |        113 |          2 |          4 |        119 |
| c:\Users\kk\Desktop\outstanding-crm-front\src\PublicComponents\office\calendar\calendar.css                                                                                         | CSS        |         69 |          0 |          1 |         70 |
| c:\Users\kk\Desktop\outstanding-crm-front\src\PublicComponents\office\calendar\calendar.js                                                                                          | JavaScript |        333 |         16 |         17 |        366 |
| c:\Users\kk\Desktop\outstanding-crm-front\src\PublicComponents\office\store.js                                                                                                      | JavaScript |          9 |          0 |          1 |         10 |
| c:\Users\kk\Desktop\outstanding-crm-front\src\PublicComponents\office\menu\menu-left.css                                                                                            | CSS        |         46 |          0 |          3 |         49 |
| c:\Users\kk\Desktop\outstanding-crm-front\src\PublicComponents\office\menu\menu-left.js                                                                                             | JavaScript |         56 |          0 |          8 |         64 |
| c:\Users\kk\Desktop\outstanding-crm-front\src\PublicComponents\office\menu\right\creat.js                                                                                           | JavaScript |         15 |          0 |          2 |         17 |
| c:\Users\kk\Desktop\outstanding-crm-front\src\PublicComponents\office\menu\right\right.css                                                                                          | CSS        |         31 |          0 |          1 |         32 |
| c:\Users\kk\Desktop\outstanding-crm-front\src\PublicComponents\office\menu\right\right.js                                                                                           | JavaScript |         20 |          0 |          2 |         22 |
| c:\Users\kk\Desktop\outstanding-crm-front\src\PublicComponents\office\task\newtask.css                                                                                              | CSS        |         15 |          0 |          1 |         16 |
| c:\Users\kk\Desktop\outstanding-crm-front\src\PublicComponents\office\task\newtask.js                                                                                               | JavaScript |        282 |          8 |         11 |        301 |
| c:\Users\kk\Desktop\outstanding-crm-front\src\PublicComponents\office\task\task.css                                                                                                 | CSS        |         51 |          0 |          1 |         52 |
| c:\Users\kk\Desktop\outstanding-crm-front\src\PublicComponents\office\task\task.js                                                                                                  | JavaScript |        116 |          5 |         11 |        132 |
| c:\Users\kk\Desktop\outstanding-crm-front\src\PublicComponents\office\work\middle\middle.css                                                                                        | CSS        |         95 |          0 |          3 |         98 |
| c:\Users\kk\Desktop\outstanding-crm-front\src\PublicComponents\office\work\middle\middle.js                                                                                         | JavaScript |         59 |          0 |          4 |         63 |
| c:\Users\kk\Desktop\outstanding-crm-front\src\PublicComponents\office\work\right\right.css                                                                                          | CSS        |         42 |          2 |          1 |         45 |
| c:\Users\kk\Desktop\outstanding-crm-front\src\PublicComponents\office\work\right\right.js                                                                                           | JavaScript |        399 |         11 |         17 |        427 |
| c:\Users\kk\Desktop\outstanding-crm-front\src\PublicComponents\personInfo\components\changePwd\store.js                                                                             | JavaScript |         63 |          0 |         13 |         76 |
| c:\Users\kk\Desktop\outstanding-crm-front\src\PublicComponents\personInfo\components\changePwd\style.css                                                                            | CSS        |          1 |          0 |          0 |          1 |
| c:\Users\kk\Desktop\outstanding-crm-front\src\PublicComponents\personInfo\components\infoEdit\store.js                                                                              | JavaScript |         58 |          1 |         12 |         71 |
| c:\Users\kk\Desktop\outstanding-crm-front\src\PublicComponents\personInfo\components\infoEdit\style.css                                                                             | CSS        |         26 |          0 |          4 |         30 |
| c:\Users\kk\Desktop\outstanding-crm-front\src\PublicComponents\personInfo\store.js                                                                                                  | JavaScript |         86 |          0 |         16 |        102 |
| c:\Users\kk\Desktop\outstanding-crm-front\src\PublicComponents\personInfo\style.css                                                                                                 | CSS        |         40 |          0 |          4 |         44 |
| c:\Users\kk\Desktop\outstanding-crm-front\src\PublicComponents\top\store.js                                                                                                         | JavaScript |         49 |          0 |         12 |         61 |
| c:\Users\kk\Desktop\outstanding-crm-front\src\PublicComponents\top\style.css                                                                                                        | CSS        |         47 |          0 |          4 |         51 |
| c:\Users\kk\Desktop\outstanding-crm-front\src\axios\axios.js                                                                                                                        | JavaScript |          4 |          1 |          2 |          7 |
| c:\Users\kk\Desktop\outstanding-crm-front\src\components\backstageTop\store.js                                                                                                      | JavaScript |         28 |          1 |          1 |         30 |
| c:\Users\kk\Desktop\outstanding-crm-front\src\components\backstageTop\style.css                                                                                                     | CSS        |         26 |          0 |          1 |         27 |
| c:\Users\kk\Desktop\outstanding-crm-front\src\components\receptionTop\store.js                                                                                                      | JavaScript |         49 |          0 |         12 |         61 |
| c:\Users\kk\Desktop\outstanding-crm-front\src\components\receptionTop\style.css                                                                                                     | CSS        |         47 |          0 |          4 |         51 |
| c:\Users\kk\Desktop\outstanding-crm-front\src\store.js                                                                                                                              | JavaScript |         10 |          0 |          3 |         13 |
| c:\Users\kk\Desktop\outstanding-crm-front\src\pages\backstageMgt\customer\component\table.js                                                                                        | JavaScript |        136 |          4 |          4 |        144 |
| c:\Users\kk\Desktop\outstanding-crm-front\src\pages\backstageMgt\customer\customer.css                                                                                              | CSS        |          0 |          0 |          1 |          1 |
| c:\Users\kk\Desktop\outstanding-crm-front\src\pages\backstageMgt\customer\customer.js                                                                                               | JavaScript |        320 |         13 |         18 |        351 |
| c:\Users\kk\Desktop\outstanding-crm-front\src\pages\backstageMgt\font-awesome-4.7.0\css\font-awesome.css                                                                            | CSS        |      2,327 |         10 |          1 |      2,338 |
| c:\Users\kk\Desktop\outstanding-crm-front\src\pages\backstageMgt\font-awesome-4.7.0\css\font-awesome.min.css                                                                        | CSS        |          1 |          3 |          1 |          5 |
| c:\Users\kk\Desktop\outstanding-crm-front\src\pages\backstageMgt\font-awesome-4.7.0\fonts\fontawesome-webfont.svg                                                                   | XML        |      2,671 |          0 |          1 |      2,672 |
| c:\Users\kk\Desktop\outstanding-crm-front\src\pages\backstageMgt\font-awesome-4.7.0\less\animated.less                                                                              | Less       |         28 |          2 |          5 |         35 |
| c:\Users\kk\Desktop\outstanding-crm-front\src\pages\backstageMgt\font-awesome-4.7.0\less\bordered-pulled.less                                                                       | Less       |         17 |          3 |          6 |         26 |
| c:\Users\kk\Desktop\outstanding-crm-front\src\pages\backstageMgt\font-awesome-4.7.0\less\core.less                                                                                  | Less       |          8 |          2 |          3 |         13 |
| c:\Users\kk\Desktop\outstanding-crm-front\src\pages\backstageMgt\font-awesome-4.7.0\less\fixed-width.less                                                                           | Less       |          4 |          2 |          1 |          7 |
| c:\Users\kk\Desktop\outstanding-crm-front\src\pages\backstageMgt\font-awesome-4.7.0\less\font-awesome.less                                                                          | Less       |         13 |          4 |          2 |         19 |
| c:\Users\kk\Desktop\outstanding-crm-front\src\pages\backstageMgt\font-awesome-4.7.0\less\icons.less                                                                                 | Less       |        786 |          2 |          2 |        790 |
| c:\Users\kk\Desktop\outstanding-crm-front\src\pages\backstageMgt\font-awesome-4.7.0\less\larger.less                                                                                | Less       |          9 |          3 |          2 |         14 |
| c:\Users\kk\Desktop\outstanding-crm-front\src\pages\backstageMgt\font-awesome-4.7.0\less\list.less                                                                                  | Less       |         16 |          2 |          2 |         20 |
| c:\Users\kk\Desktop\outstanding-crm-front\src\pages\backstageMgt\font-awesome-4.7.0\less\mixins.less                                                                                | Less       |         41 |         10 |         10 |         61 |
| c:\Users\kk\Desktop\outstanding-crm-front\src\pages\backstageMgt\font-awesome-4.7.0\less\path.less                                                                                  | Less       |         11 |          3 |          2 |         16 |
| c:\Users\kk\Desktop\outstanding-crm-front\src\pages\backstageMgt\font-awesome-4.7.0\less\rotated-flipped.less                                                                       | Less       |         12 |          4 |          5 |         21 |
| c:\Users\kk\Desktop\outstanding-crm-front\src\pages\backstageMgt\font-awesome-4.7.0\less\screen-reader.less                                                                         | Less       |          2 |          2 |          2 |          6 |
| c:\Users\kk\Desktop\outstanding-crm-front\src\pages\backstageMgt\font-awesome-4.7.0\less\stacked.less                                                                               | Less       |         17 |          2 |          2 |         21 |
| c:\Users\kk\Desktop\outstanding-crm-front\src\pages\backstageMgt\font-awesome-4.7.0\less\variables.less                                                                             | Less       |        794 |          3 |          4 |        801 |
| c:\Users\kk\Desktop\outstanding-crm-front\src\pages\backstageMgt\font-awesome-4.7.0\scss\_animated.scss                                                                             | SCSS       |         28 |          2 |          5 |         35 |
| c:\Users\kk\Desktop\outstanding-crm-front\src\pages\backstageMgt\font-awesome-4.7.0\scss\_bordered-pulled.scss                                                                      | SCSS       |         17 |          3 |          6 |         26 |
| c:\Users\kk\Desktop\outstanding-crm-front\src\pages\backstageMgt\font-awesome-4.7.0\scss\_core.scss                                                                                 | SCSS       |          8 |          2 |          3 |         13 |
| c:\Users\kk\Desktop\outstanding-crm-front\src\pages\backstageMgt\font-awesome-4.7.0\scss\_fixed-width.scss                                                                          | SCSS       |          4 |          2 |          1 |          7 |
| c:\Users\kk\Desktop\outstanding-crm-front\src\pages\backstageMgt\font-awesome-4.7.0\scss\_icons.scss                                                                                | SCSS       |        786 |          2 |          2 |        790 |
| c:\Users\kk\Desktop\outstanding-crm-front\src\pages\backstageMgt\font-awesome-4.7.0\scss\_larger.scss                                                                               | SCSS       |          9 |          3 |          2 |         14 |
| c:\Users\kk\Desktop\outstanding-crm-front\src\pages\backstageMgt\font-awesome-4.7.0\scss\_list.scss                                                                                 | SCSS       |         16 |          2 |          2 |         20 |
| c:\Users\kk\Desktop\outstanding-crm-front\src\pages\backstageMgt\font-awesome-4.7.0\scss\_mixins.scss                                                                               | SCSS       |         41 |         10 |         10 |         61 |
| c:\Users\kk\Desktop\outstanding-crm-front\src\pages\backstageMgt\font-awesome-4.7.0\scss\_path.scss                                                                                 | SCSS       |         11 |          3 |          2 |         16 |
| c:\Users\kk\Desktop\outstanding-crm-front\src\pages\backstageMgt\font-awesome-4.7.0\scss\_rotated-flipped.scss                                                                      | SCSS       |         12 |          4 |          5 |         21 |
| c:\Users\kk\Desktop\outstanding-crm-front\src\pages\backstageMgt\font-awesome-4.7.0\scss\_screen-reader.scss                                                                        | SCSS       |          2 |          2 |          2 |          6 |
| c:\Users\kk\Desktop\outstanding-crm-front\src\pages\backstageMgt\font-awesome-4.7.0\scss\_stacked.scss                                                                              | SCSS       |         17 |          2 |          2 |         21 |
| c:\Users\kk\Desktop\outstanding-crm-front\src\pages\backstageMgt\font-awesome-4.7.0\scss\_variables.scss                                                                            | SCSS       |        794 |          3 |          4 |        801 |
| c:\Users\kk\Desktop\outstanding-crm-front\src\pages\backstageMgt\font-awesome-4.7.0\scss\font-awesome.css                                                                           | CSS        |      2,302 |         11 |        711 |      3,024 |
| c:\Users\kk\Desktop\outstanding-crm-front\src\pages\backstageMgt\font-awesome-4.7.0\scss\font-awesome.scss                                                                          | SCSS       |         13 |          4 |          2 |         19 |
| c:\Users\kk\Desktop\outstanding-crm-front\src\pages\backstageMgt\homepage\store.js                                                                                                  | JavaScript |         74 |          0 |         23 |         97 |
| c:\Users\kk\Desktop\outstanding-crm-front\src\pages\backstageMgt\homepage\style.css                                                                                                 | CSS        |         34 |          0 |          6 |         40 |
